9ydTJdWpTeM	luquitas	Armando la valija para Qatar — vlog #00
I6d9Df2EE2M	luquitas	Rumbo a Qatar | Roma, primera escala — vlog #01
yx9GGYdoM_g	luquitas	Estadios con Maslatón & paseo de PLM — vlog #02
X3ZM1WQI874	luquitas	La excursión nocturna de Alfre y Germán por Doha — vlog #03
spLV1gF0fkI	fifa	Resumen oficial: Argentina 1-2 Arabia Saudita | FIFA
iDaqtUS5dv0	vorterix	#ParenLaMano Mundial — 22/11 (post derrota)
nKkX9r_lANE	vorterix	#ParenLaMano Mundial — 23/11
7scSAXS1xZA	vorterix	#ParenLaMano Mundial — 24/11
bsxyhXZmCqY	vorterix	#ParenLaMano Mundial — 25/11
Rb6P2sdlJTE	fifa	Resumen oficial: Argentina 2-0 México | FIFA
U_H8MsNKeRo	luquitas	¡Toman, toman! Argentina vs México — vlog #04
3E0nkYOa0UI	afa	AFA Estudio Mundial | Luquitas, Beder y Rober Galati
F0hYSn82oHI	vorterix	#ParenLaMano Mundial — 28/11
sZxwaIEh2AU	vorterix	#ParenLaMano Mundial — 29/11
anvVCkBLXVQ	luquitas	Conocí a Ciro y Beder se perdió en el desierto — vlog #05
WsirK_ee6mo	luquitas	Vimos al Bicho y Rob-Rob de compras — vlog #06
HmpEZjITupA	luquitas	Regateando la planchita para el Rob-Rob — vlog #07
NpXbckymq5E	fifa	Resumen oficial: Polonia 0-2 Argentina | FIFA
DFROREs8om0	vorterix	#ParenLaMano Mundial — 30/11 (clasificación)
o6v9bPO7Fn8	luquitas	Germán bailó descontrolado el pase a octavos — vlog #08
aJYkLq9ton4	vorterix	#ParenLaMano Mundial — 01/12
i7LlDbppUeU	vorterix	#ParenLaMano Mundial — 02/12
vSumHdOyBp0	luquitas	El peor momento de Rober en Qatar — vlog #09
pt2u73SeTt0	luquitas	Ganó Argentina y estamos contentos — vlog #10
KvSiRNO1BTY	fifa	Resumen oficial: Argentina 2-1 Australia | FIFA
dJ6_j_Zvdqs	luquitas	¡Volvimos a estar contentos! Arg vs Aus — vlog #11
ubOPOfWmzrw	afa	AFA Estudio Mundial | Alfre Montes de Oca y PLM
227LWxq1CU0	vorterix	#ParenLaMano Mundial — 05/12
K07IOnwxuiY	vorterix	#ParenLaMano Mundial — 06/12
q7nSZnbQm3o	vorterix	#ParenLaMano Mundial — 07/12
3vNyGceA-ac	vorterix	#ParenLaMano Mundial — 08/12
QnqvmnuEUUw	luquitas	Domingo de crisis y desgano total — vlog #12
lnQpf1etTt8	luquitas	Un día 3 puntos para Big Big Rob — vlog #13
5P3fa2lD27g	luquitas	Lavando los trapitos sucios en Qatar — vlog #14
zCRm4d5lQw4	luquitas	Me voy a comprar un crucero — vlog #15
AkkVZ9C44Cs	luquitas	Estafaron a Big Big Rob — vlog #16
0i-gsQJg7jc	fifa	Resumen oficial: Países Bajos 2(3)-(4)2 Argentina | FIFA
a5r3N-oN0nc	luquitas	¡Hacelos teta Dibu! Arg vs PBA — vlog #17
l_dmnDb0dwg	luquitas	¿Me olés la pata por 100 dólares? — vlog #18
eqJ9OTK47w8	luquitas	Día de preocupación en Qatar — vlog #19
SVL-1X5x4wg	afa	AFA Estudio Mundial | El Rob-Rob y sus amigos de PLM
Lpdq9kHDqYw	vorterix	#ParenLaMano Mundial — 12/12
gbkgbbKZ1CA	fifa	Resumen oficial: Argentina 3-0 Croacia | FIFA
PAsDY0uTxUk	vorterix	#ParenLaMano Mundial — 13/12 (a la final)
uWe6YFC2aVU	luquitas	Estamos en la final del mundo | Arg 3-0 Croacia — vlog #20
HbJt7Kig5Xg	vorterix	#ParenLaMano Mundial — 14/12
G2HGVl6mdEA	vorterix	#ParenLaMano Mundial — 15/12
Y0xzKP4v08A	vorterix	#ParenLaMano Mundial — 16/12
4wf3XTnIMCM	luquitas	Germán no da más y se quiere volver — vlog #21
m7w3WLwRHIY	luquitas	¡Dos días para la final y no tenemos entradas! — vlog #22
nnfVVzdS1tY	afa	AFA Estudio Mundial | El comandante Germán Beder
dkknsdXeV5Q	luquitas	¡Tenemos entradas! — vlog #23
zhEWqfP6V_w	fifa	Resumen oficial: Argentina 3(4)-(2)3 Francia | La mejor final | FIFA
ncW22cFvJmQ	luquitas	Argentina, ¿sos campeón del mundo? — vlog #24
C27xr-CBSh8	luquitas	Reacción a la final Argentina vs Francia (relatos De Paoli)
gVREUy7SlwQ	vorterix	#PLM 🏅 Campeones del mundo — último programa (19/12)
pZz5QzVtpso	luquitas	Un comienzo para olvidar, un final para recordar — vlog #25
Ars8uSWo4Y4	luquitas	¡Volvimos campeones del mundo! — vlog #26
mrvlMJNmXD4	beder	#PLM en el Mundial #1: escala en Italia y primera compra en Qatar
K-eWiKHdUnM	beder	#PLM en el Mundial #2: paseo con Alfre, entradas y Argentina-México
SVl2uDxW5ik	beder	#PLM en el Mundial #3: desierto con Alfre, concentración y el Bicho
WWluzW7aVZ0	beder	#PLM en el Mundial #4: JPV, compras, danza y Argentina-Polonia
Y-WsECl9GOE	beder	#PLM en el Mundial #5: paseo, charlas, Argentina-Australia y regalo
6icN1Ocx1hw	beder	#PLM en el Mundial #6: playa, reclamos y el crucero de Wancho
nlOcbgtH2Lw	beder	#PLM en el Mundial #7: limpieza, shopping, pronósticos y victoria
EwR02BTBQtA	beder	#PLM en el Mundial #8: enfermedad, drama del chocolate y Argentina finalista
kxYcGBUOL9s	beder	#PLM en el Mundial #9: paseo, Senosiain y entradas
wyLpZqmW6WA	beder	#PLM en el Mundial #10: ¡somos campeones del mundo!
XamPuRLBBs8	beder	#PLM en el Mundial #11: escala en Italia y vuelta a Argentina
